City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,fortaleza,-3.7227,-38.5247,26.2,88,80,5.3,BR,1714436309
152,launceston,-41.45,147.1667,14.08,58,20,1.54,AU,1714436597
153,marsh harbour,26.5412,-77.0636,22.97,69,89,8.25,BS,1714436597
154,new corella,7.6,125.8667,28.65,67,100,2.26,PH,1714436598
155,ataq,14.5377,46.8319,21.73,62,7,3.76,YE,1714436598
156,uturoa,-16.7333,-151.4333,27.05,72,83,9.93,PF,1714436598
157,marion,39.7684,-86.1555,18.19,94,100,1.54,US,1714436598
158,keflavik,64.0049,-22.5624,3.24,81,0,6.17,IS,1714436598
159,akureyri,65.6835,-18.0878,2.96,93,100,3.09,IS,1714436598
160,magdeburg,52.1667,11.6667,12.74,82,68,0.45,DE,1714436570
161,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1714436554
162,queenstown,-31.8976,26.8753,15.24,39,5,4.09,ZA,1714436598
163,tazovsky,67.4667,78.7,-14.63,97,100,4.98,RU,1714436598
164,touros,-5.1989,-35.4608,25.0,92,100,3.91,BR,1714436598
165,malango,-2.9627,119.9001,22.65,91,98,0.91,ID,1714436598
166,dudinka,69.4058,86.1778,-16.85,92,88,8.05,RU,1714436598
167,rawson,-43.3002,-65.1023,14.54,52,60,11.64,AR,1714436599
168,thunder bay,48.4001,-89.3168,1.65,98,100,5.66,CA,1714436323
169,mount pearl,47.5166,-52.7813,6.03,98,100,3.6,CA,1714436599
170,nelson bay,-32.7167,152.15,21.67,95,99,7.15,AU,1714436599
171,shimoda,34.6667,138.95,20.2,94,100,3.54,JP,1714436599
172,alamogordo,32.8995,-105.9603,26.64,16,0,2.06,US,1714436599
173,punta arenas,-53.15,-70.9167,5.06,75,75,6.17,CL,1714436599
174,griffith,41.5284,-87.4237,21.14,85,75,4.63,US,1714436599
175,tura,25.5198,90.2201,24.19,83,0,3.49,IN,1714436599
176,aasiaat,68.7098,-52.8699,-0.03,99,100,4.57,GL,1714436599
177,fortuna,40.5982,-124.1573,14.4,69,75,5.66,US,1714436599
178,musoma,-1.5,33.8,20.35,88,67,2.85,TZ,1714436600
179,east london,-33.0153,27.9116,20.08,84,11,3.01,ZA,1714436600
180,portland,45.5234,-122.6762,14.2,66,75,2.57,US,1714436320
181,soe,-9.8607,124.284,21.93,79,85,1.47,ID,1714436600
182,susuman,62.7833,148.1667,-5.57,92,100,2.68,RU,1714436600
183,federal,-30.9547,-58.7833,19.15,99,99,3.52,AR,1714436600
184,haiku-pauwela,20.9219,-156.3051,28.01,69,40,6.17,US,1714436600
185,nadym,65.5333,72.5167,-14.46,90,56,5.58,RU,1714436600
186,rossosh',51.1209,38.5116,8.57,92,3,3.09,RU,1714436600
187,antofagasta,-23.65,-70.4,17.49,86,18,2.26,CL,1714436302
188,kargasok,59.0556,80.8572,-6.13,68,90,6.71,RU,1714436600
189,usinsk,65.9939,57.5281,-7.74,89,95,4.92,RU,1714436507
190,hamilton,39.1834,-84.5333,25.35,71,100,3.09,US,1714436124
191,gorodoviki,46.1353,41.9656,14.06,83,38,6.51,RU,1714436600
192,gebeit,21.0667,36.3167,23.85,61,0,3.05,SD,1714436601
193,coahuayana de hidalgo,18.7,-103.6583,26.38,64,73,2.1,MX,1714436601
194,bilibino,68.0546,166.4372,-4.19,80,20,1.84,RU,1714436601
195,motygino,58.1831,94.7592,-4.56,86,97,4.47,RU,1714436601
196,roma,43.2128,-75.4557,18.94,80,0,3.6,US,1714436464
197,geraldton,-28.7667,114.6,25.23,47,75,8.75,AU,1714436601
198,kumeny,58.1089,49.9161,5.19,96,50,3.02,RU,1714436601
199,ngama,11.7833,17.1667,32.88,19,7,3.54,TD,1714436601
200,sisimiut,66.9395,-53.6735,0.06,99,100,6.44,GL,1714436601
201,elburn,41.8923,-88.4723,20.2,64,0,7.72,US,1714436601
202,chernyshevskiy,63.0128,112.4714,-0.22,100,100,2.1,RU,1714436601
203,madhipura,25.9167,86.7833,26.75,21,1,2.21,IN,1714436601
204,horovice,49.836,13.9027,16.83,69,27,2.58,CZ,1714436602
205,nagqu,31.5,92.0,1.52,36,100,2.25,CN,1714436602
206,port saint john's,-31.6229,29.5448,22.24,65,31,3.21,ZA,1714436602
207,tolanaro,-25.0319,46.9987,23.04,78,40,9.26,MG,1714436602
208,fort mcmurray,56.7268,-111.381,10.77,53,100,5.14,CA,1714436602
209,new norfolk,-42.7826,147.0587,12.73,64,98,2.58,AU,1714436602
210,champerico,14.3,-91.9167,26.3,69,37,1.74,GT,1714436602
211,tommot,58.9564,126.2925,-0.43,90,100,1.84,RU,1714436602
212,swakopmund,-22.6833,14.5333,20.47,66,0,2.29,NA,1714436602
213,callao,-12.0667,-77.15,25.4,78,0,4.63,PE,1714436480
214,merizo village,13.2658,144.6691,29.99,84,18,6.31,GU,1714436602
215,santa terezinha,-29.9002,-50.0904,21.69,97,100,6.13,BR,1714436602
216,grand-popo,6.2804,1.8225,28.76,83,100,3.5,BJ,1714436602
217,luanda,-8.8368,13.2343,25.76,87,36,4.51,AO,1714436332
218,sao vicente,-23.9631,-46.3919,32.1,26,15,0.63,BR,1714436497
219,bandarbeyla,9.4942,50.8122,28.75,78,76,2.16,SO,1714436603
220,utrik,11.2278,169.8474,27.34,80,100,7.51,MH,1714436603
221,mili,6.0815,171.735,28.08,84,77,8.99,MH,1714436603
222,dazhou,31.2159,107.5009,13.18,82,100,1.67,CN,1714436603
223,egersund,58.4513,5.9997,9.49,83,38,6.85,NO,1714436603
224,ullal,12.8,74.85,27.53,94,20,1.54,IN,1714436603
225,howrah,22.5892,88.3103,32.0,70,0,4.12,IN,1714436603
226,san antonio de pale,-1.4014,5.6325,28.49,87,55,3.38,GQ,1714436603
227,hilo,19.7297,-155.09,26.85,73,75,5.14,US,1714436460
228,cabo san lucas,22.8909,-109.9124,29.23,36,0,6.17,MX,1714436431
229,tangalle,6.024,80.7911,25.09,90,99,2.14,LK,1714436603
230,iskateley,67.6803,53.1512,-3.32,85,100,5.81,RU,1714436604
231,caconda,-13.7333,15.0667,13.25,62,1,2.05,AO,1714436604
232,nantucket,41.2835,-70.0995,12.08,71,0,0.0,US,1714436604
233,tvoroyri,61.5556,-6.8111,7.28,83,72,4.54,FO,1714436604
234,santo antonio do ica,-3.1022,-67.9397,24.57,96,66,0.51,BR,1714436604
235,jayapura,-2.5333,140.7,28.66,83,92,1.49,ID,1714436604
236,labytnangi,66.6572,66.4183,-7.01,88,100,5.5,RU,1714436604
237,lobva,59.1854,60.5185,-2.06,73,30,0.13,RU,1714436604
238,al artawiyah,26.5053,45.3444,23.08,40,100,7.47,SA,1714436604
239,grand falls-windsor,48.9332,-55.6649,5.84,94,100,0.89,CA,1714436604
240,ghat,24.9647,10.1728,30.89,12,100,0.23,LY,1714436605
241,nova sintra,14.8667,-24.7167,23.71,82,93,11.41,CV,1714436605
242,atafu village,-8.5421,-172.5159,29.64,75,60,5.01,TK,1714436605
243,mlyniv,50.509,25.6168,11.76,77,2,4.42,UA,1714436605
244,fisterra,42.9049,-9.2629,12.08,93,100,7.58,ES,1714436605
245,dire dawa,9.5931,41.8661,22.35,72,45,2.82,ET,1714436605
246,sao gabriel da cachoeira,-0.1303,-67.0892,24.24,97,100,1.01,BR,1714436605
247,colonia,50.9333,6.95,14.87,77,0,0.51,DE,1714436594
248,qaqortoq,60.7167,-46.0333,1.87,71,100,1.8,GL,1714436605
249,port-vila,-17.7338,168.3219,26.78,83,75,6.17,VU,1714436605
250,lerwick,60.1545,-1.1494,9.0,92,99,12.33,GB,1714436605
251,chegdomyn,51.1167,133.0167,9.58,33,100,2.34,RU,1714436605
252,balsas,-7.5325,-46.0356,25.49,67,75,0.69,BR,1714436606
253,padang,-0.9492,100.3543,27.03,88,100,1.88,ID,1714436606
